                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8096,                 1.9054,                 1.7261,                0.63573,                0.50905,                0.54406,                0.24475,                 1.9241,                 1.5453,                 1.7323,              0.0033267,              0.0033267,              0.0033267
                      2,                 1.7401,                 1.4742,                 1.6177,                0.59655,                0.52823,                0.55345,                0.23458,                 2.0189,                 1.6376,                 1.8702,              0.0066161,              0.0066161,              0.0066161
                      3,                 1.8333,                 1.6049,                  1.692,                0.60839,                0.41504,                 0.4599,                0.19669,                 2.0763,                 1.9015,                 1.8619,              0.0098615,              0.0098615,              0.0098615
                      4,                 1.8881,                 1.7273,                 1.7514,                0.58491,                0.49358,                0.52394,                0.21947,                 2.0569,                 1.7357,                 1.8639,               0.009802,               0.009802,               0.009802
                      5,                  1.851,                 1.6214,                 1.7048,                0.72295,                0.54875,                0.60541,                0.26431,                  2.038,                  1.616,                 1.8491,               0.009802,               0.009802,               0.009802
                      6,                 1.8137,                 1.5736,                 1.6949,                0.67657,                0.56825,                0.61382,                0.27541,                 1.9382,                 1.5544,                 1.7805,               0.009736,               0.009736,               0.009736
                      7,                 1.7765,                 1.5088,                 1.6768,                0.72971,                0.60161,                0.65625,                0.31438,                  1.869,                 1.3609,                 1.7254,                0.00967,                0.00967,                0.00967
                      8,                 1.7529,                 1.4654,                 1.6716,                0.68549,                0.61212,                 0.6483,                0.31817,                 1.8383,                 1.4349,                 1.7154,               0.009604,               0.009604,               0.009604
                      9,                  1.699,                 1.3985,                 1.6301,                0.71878,                0.55711,                 0.6435,                 0.3284,                 1.8034,                 1.4772,                 1.7056,               0.009538,               0.009538,               0.009538
                     10,                 1.6944,                 1.3815,                 1.6346,                0.75181,                0.58008,                0.68181,                 0.3441,                 1.7947,                 1.3069,                 1.6715,               0.009472,               0.009472,               0.009472
                     11,                 1.6655,                 1.3471,                  1.621,                0.70928,                0.62861,                0.68274,                0.33443,                 1.8606,                 1.2763,                 1.7407,               0.009406,               0.009406,               0.009406
                     12,                 1.6364,                 1.3154,                 1.5984,                0.69729,                 0.6149,                0.67279,                0.32681,                 1.7819,                 1.3305,                 1.6735,                0.00934,                0.00934,                0.00934
