                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.808,                 1.9087,                 1.7431,                0.58134,                0.49304,                0.51756,                0.23245,                 1.9821,                 1.6661,                 1.8665,              0.0033267,              0.0033267,              0.0033267
                      2,                 1.7352,                 1.4844,                 1.6504,                0.63956,                 0.5511,                0.58543,                 0.2539,                 1.9777,                 1.5072,                  1.762,              0.0065941,              0.0065941,              0.0065941
                      3,                 1.8256,                 1.6198,                 1.6952,                0.55629,                0.48456,                0.48285,                0.20802,                 2.0525,                 1.9014,                 1.8438,              0.0097955,              0.0097955,              0.0097955
                      4,                 1.8772,                 1.7019,                 1.7445,                0.60422,                  0.539,                0.56579,                 0.2557,                 1.9855,                 1.6453,                 1.8083,               0.009703,               0.009703,               0.009703
                      5,                 1.8385,                 1.6288,                 1.7037,                0.60694,                0.54387,                0.54148,                0.24383,                 1.9984,                 1.6698,                 1.8231,               0.009703,               0.009703,               0.009703
                      6,                 1.8074,                 1.5716,                 1.6957,                0.70181,                0.57451,                0.63461,                0.28781,                 1.9304,                 1.6032,                 1.8046,               0.009604,               0.009604,               0.009604
                      7,                 1.7695,                 1.5087,                 1.6875,                 0.7471,                0.58426,                 0.6507,                0.31446,                 1.9006,                 1.3731,                  1.752,               0.009505,               0.009505,               0.009505
                      8,                  1.749,                 1.4612,                 1.6693,                0.75833,                0.57687,                0.65533,                0.31588,                 1.9225,                 1.3374,                 1.7767,               0.009406,               0.009406,               0.009406
                      9,                 1.7093,                 1.4029,                 1.6405,                0.71666,                0.58844,                0.66812,                0.33648,                 1.8246,                 1.3224,                 1.6798,               0.009307,               0.009307,               0.009307
                     10,                  1.693,                 1.3756,                 1.6276,                0.78772,                0.56407,                0.67571,                0.34431,                 1.7771,                 1.3202,                 1.6522,               0.009208,               0.009208,               0.009208
